Index,Title,Description,Year,Movie Suitability,Category,Minutes,Rating,Votes,Director,Stars,Gross
149,Time of the Gypsies,"
    In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",1988,R,"
Comedy, Crime, Drama            ",142 min,8.2,"28,073",Emir Kusturica,"['Davor Dujmovic', 'Bora Todorovic', 'Ljubica Adzovic', 'Husnija Hasimovic']",$0.28M
150,My Neighbor Totoro,"
    When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,G,"
Animation, Family, Fantasy            ",86 min,8.2,"299,192",Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",$1.11M
151,Die Hard,"
    An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.",1988,R,"
Action, Thriller            ",132 min,8.2,"802,912",John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']",$83.01M
152,Ran,"
    In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1985,R,"
Action, Drama, War            ",162 min,8.2,"115,056",Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']",$4.14M
153,Raging Bull,"
    The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980,R,"
Biography, Drama, Sport            ",129 min,8.2,"326,630",Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",$23.38M
154,Stalker,"
    A guide leads two men through an area known as the Zone to find a room that grants wishes.",1979,Not Rated,"
Drama, Sci-Fi            ",162 min,8.2,"119,958",Andrei Tarkovsky,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko']",$0.23M
155,Autumn Sonata,"
    A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",1978,PG,"
Drama, Music            ",99 min,8.2,"28,592",Ingmar Bergman,"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']","28,592"
156,Taxi Driver,"
    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",1976,R,"
Crime, Drama            ",114 min,8.2,"739,003",Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']",$28.26M
157,Monty Python and the Holy Grail,"
    King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975,PG,"
Adventure, Comedy, Fantasy            ",91 min,8.2,"506,668",Terry Gilliam,"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam']",$1.23M
158,For a Few Dollars More,"
    Two bounty hunters with the same intentions team up to track down a Western outlaw.",1965,R,"
Western            ",132 min,8.2,"236,441",Sergio Leone,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']",$15.00M
159,The Great Escape,"
    Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.",1963,Approved,"
Adventure, Drama, History            ",172 min,8.2,"227,981",John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']",$12.10M
160,To Kill a Mockingbird,"
    Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",1962,Approved,"
Crime, Drama            ",129 min,8.2,"297,172",Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']","297,172"
161,Yojimbo,"
    A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.",1961,Not Rated,"
Action, Drama, Thriller            ",110 min,8.2,"113,414",Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']","113,414"
162,Judgment at Nuremberg,"
    In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",1961,Approved,"
Drama, War            ",179 min,8.2,"70,947",Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']","70,947"
163,Some Like It Hot,"
    After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1959,Passed,"
Comedy, Music, Romance            ",121 min,8.2,"247,554",Billy Wilder,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']",$25.00M
164,Wild Strawberries,"
    After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1957,Not Rated,"
Drama, Romance            ",91 min,8.2,"98,518",Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand']","98,518"
165,The Seventh Seal,"
    A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1957,Not Rated,"
Drama, Fantasy, History            ",96 min,8.2,"168,612",Ingmar Bergman,"['Max von Sydow', 'Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe']","168,612"
166,Dial M for Murder,"
    A former tennis player tries to arrange his wife's murder after learning of her affair.",1954,PG,"
Crime, Thriller            ",105 min,8.2,"161,212",Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']",$0.01M
167,Tokyo Story,"
    An old couple visit their children and grandchildren in the city, but receive little attention.",1953,Not Rated,"
Drama            ",136 min,8.2,"54,792",Yasujirô Ozu,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura', 'Setsuko Hara']","54,792"
168,Rashomon,"
    The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",1950,Not Rated,"
Crime, Drama, Mystery            ",88 min,8.2,"155,401",Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']",$0.10M
